referencia;categoria;descripcion;costo;precio1;preci2;precio3;cantidadBodega1;cantidadBodega2;cantidadBodega3;TotalBodegas;cantidadTransito;formato;presentacion;cajaEnPallet;pesoUndEmpaque;UndEmpaque;fichasUndEmpaque;codigoContable;cuentaContable;;
ET-2061B;BAÑOS;SANITARIO EVOLA NEGRO;156570;307000;245600;184200;62;11;37;110;600;ONE PIECE;1;8;54;PC;0;150;143501;;
ET-2061C;BAÑOS;SANITARIO EVOLA GRIS;719610;1411000;1128800;846600;129;52;117;298;1400;ONE PIECE;1;8;54;PC;0;149;143501;;
ET-2064;BAÑOS;SANITARIO CONFORD BLANCO;249900;490000;392000;294000;29;141;97;267;700;ONE PIECE;1;8;54;PC;0;131;143501;;
ET-2064A;BAÑOS;SANITARIO CONFORD BLANCO LINEA ORO;510510;1001000;800800;600600;146;89;16;251;1900;ONE PIECE;1;8;54;PC;0;133;143501;;
ET-2064B;BAÑOS;SANITARIO CONFORD NEGRO;720630;1413000;1130400;847800;32;133;89;254;900;ONE PIECE;1;8;54;PC;0;134;143501;;
ET-2064BG;BAÑOS;SANITARIO CONFORD NEGRO LINEA ORO;116280;228000;182400;136800;40;52;22;114;800;ONE PIECE;1;8;54;PC;0;135;143501;;
ET-2064G;BAÑOS;SANITARIO CONFORD BLANCO LINEA NEGRA;751740;1474000;1179200;884400;30;95;117;242;1400;ONE PIECE;1;8;54;PC;0;132;143501;;
ET-2070;BAÑOS;SANITARIO DELUXE 3D BLANCO;324870;637000;509600;382200;50;110;23;183;800;ONE PIECE;1;8;59;PC;0;136;143501;;
ET-2070-GOLD;BAÑOS;SANITARIO DELUXE 3D ORO BLANCO;466140;914000;731200;548400;148;137;58;343;600;ONE PIECE;1;8;59;PC;0;137;143501;;
ET-2070-PINK/GOLD;BAÑOS;SANITARIO DELUXE 3D ORO ROSA BLANCO;669120;1312000;1049600;787200;82;76;49;207;1900;ONE PIECE;1;8;59;PC;0;138;143501;;
ET-2073;BAÑOS;SANITARIO ROMA BLANCO;15810;31000;24800;18600;74;4;9;87;700;ONE PIECE;1;8;50;PC;0;155;143501;;
ET-2083;BAÑOS;SANITARIO NOVA BLANCO;441150;865000;692000;519000;61;131;99;291;900;ONE PIECE;1;8;50;PC;0;154;143501;;
ET-2086;BAÑOS;SANITARIO AURORA BLANCO;630360;1236000;988800;741600;137;134;93;364;1000;ONE PIECE;1;8;50;PC;0;128;143501;;
ET-2090;BAÑOS;SANITARIO BRUMA BLANCO CARRARA;251430;493000;394400;295800;19;16;58;93;1000;ONE PIECE;1;8;59;PC;0;130;143501;;
ET-2090A;BAÑOS;SANITARIO BRUMA BLANCO;434010;851000;680800;510600;38;20;66;124;1100;ONE PIECE;1;8;59;PC;0;129;143501;;
ET-2092;BAÑOS;SANITARIO ARIA BLANCO;736950;1445000;1156000;867000;116;103;31;250;1700;ONE PIECE;1;8;50;PC;0;127;143501;;
ET-2099WB;BAÑOS;SANITARIO SCENZA TAPA NEGRA;255000;500000;400000;300000;54;32;56;142;1100;ONE PIECE;1;8;50;PC;0;156;143501;;
ET-2100;BAÑOS;SANITARIO LUMINA BLANCO;735420;1442000;1153600;865200;94;130;103;327;1600;ONE PIECE;1;8;48;PC;0;151;143501;;
ET-2100B;BAÑOS;SANITARIO LUMINA BLANCO LINEA NEGRA;521730;1023000;818400;613800;134;65;86;285;600;ONE PIECE;1;8;48;PC;0;152;143501;;
ET-2100G;BAÑOS;SANITARIO LUMINA BLANCO LINEA ORO;460020;902000;721600;541200;89;147;53;289;1200;ONE PIECE;1;8;48;PC;0;153;143501;;
ET-240B;BAÑOS;LAVAMANOS POCETA NEGRA REDONDA ;280500;550000;440000;330000;123;7;89;219;900;36x36;1;10;9;PC;0;103;143501;;
ET-240G;BAÑOS;LAVAMANOS POCETA GRIS REDONDA ;216240;424000;339200;254400;23;76;40;139;2000;36x36;1;10;9;PC;0;87;143501;;
ET-240W;BAÑOS;LAVAMANOS POCETA BLANCA REDONDA ;551310;1081000;864800;648600;139;106;137;382;1800;36x36;1;10;9;PC;0;85;143501;;
ET-29;BAÑOS;LM1 LAVAMANOS GABINETE+MESON+ESPEJO;90780;178000;142400;106800;40;84;94;218;1300;80X50;1;8;44;SET;3;167;143501;;
ET-30;BAÑOS;LM2 LAVAMANOS GABINETE+MESON+ESPEJO;475320;932000;745600;559200;89;126;131;346;1400;60X50;1;8;31.5;SET;3;168;143501;;
ET-31;BAÑOS;LM3 LAVAMANOS GABINETE+MESON+ESPEJO;675750;1325000;1060000;795000;117;92;33;242;1100;60X50;1;8;31.5;SET;3;169;143501;;
ET-310;BAÑOS;LAVAMANOS POCETA AURA BLANCO/ PLATA REDONDO;317220;622000;497600;373200;96;126;122;344;1600;40X40;1;10;9;PC;0;81;143501;;
ET-310G;BAÑOS;LAVAMANOS POCETA AURA BLANCO/ ORO REDONDO;406980;798000;638400;478800;32;121;78;231;1800;40X40;1;10;9;PC;0;80;143501;;
ET-320GOLD;BAÑOS;LAVAMANOS POCETA LUXURY REDONDA DORADO;751740;1474000;1179200;884400;147;94;136;377;1400;36x36;1;10;9;PC;0;98;143501;;
ET-320GW;BAÑOS;LAVAMANOS POCETA LUXURY REDONDA DORADO / BLANCA;283050;555000;444000;333000;64;119;146;329;600;36x36;1;10;9;PC;0;99;143501;;
ET-320SILVER;BAÑOS;LAVAMANOS POCETA LUXURY REDONDA PLATA;601800;1180000;944000;708000;45;5;22;72;1900;36x36;1;10;9;PC;0;100;143501;;
ET-35;BAÑOS;LM4 LAVAMANOS GABINETE+MESON+ESPEJO;582930;1143000;914400;685800;145;11;47;203;1200;70X50;1;8;37.5;SET;3;170;143501;;
ET-36;BAÑOS;LM5 LAVAMANOS GABINETE+MESON+ESPEJO;394230;773000;618400;463800;38;132;66;236;1800;70X50;1;8;38;SET;3;171;143501;;
ET-37;ACCESORIOS;ESPEJO LED ANTI EMPAÑANTE OVALADO 70*50 CM;112000;175000;157500;140000;133;115;142;390;1400;1;1;1;1;PC;0;18;143501;;
ET-38;ACCESORIOS;ESPEJO LED -1 ANTI EMPAÑANTE REDONDO 70 CM;158080;247000;222300;197600;112;9;88;209;1500;1;1;1;1;PC;0;14;143501;;
ET-385SILVER;BAÑOS;LAVAMANOS POCETA LUXURY BLANCA PANAL PLATA REDONDA ;684420;1342000;1073600;805200;1;71;74;146;1900;40*40;1;10;9.5;PC;0;92;143501;;
ET-385GOLD-1;BAÑOS;LAVAMANOS POCETA LUXURY BLANCA PANAL DORADO REDONDA ;499800;980000;784000;588000;98;14;120;232;1600;40*40;1;10;9.5;PC;0;91;143501;;
ET-385GOLD-3;BAÑOS;LAVAMANOS POCETA LUXURY BLANCA DORADA / TRIANGULOS REDONDA ;519690;1019000;815200;611400;26;68;138;232;900;40*40;1;10;9.5;PC;0;88;143501;;
ET-39;ACCESORIOS;ESPEJO LED -2 ANTI EMPAÑANTE REDONDO 70 CM;172800;270000;243000;216000;97;7;84;188;1100;1;1;1;1;PC;0;15;143501;;
ET-40;ACCESORIOS;ESPEJO LED -3 ANTI EMPAÑANTE REDONDO 70 CM;372480;582000;523800;465600;57;38;72;167;1800;1;1;1;1;PC;0;16;143501;;
ET-41;ACCESORIOS;ESPEJO LED ANTI EMPAÑANTE RECTANGULAR 80*50 CM;177280;277000;249300;221600;145;61;33;239;800;1;1;1;1;PC;0;20;143501;;
ET-42;ACCESORIOS;ESPEJO LED ANTI EMPAÑANTE RECTANGULAR 70*50 CM;122240;191000;171900;152800;75;101;97;273;1000;1;1;1;1;PC;0;19;143501;;
ET-606;BAÑOS;LAVAMAMOS PEDESTAL BLANCO;53550;105000;84000;63000;95;150;100;345;1900;40X40X83;1;1;35;PC;0;172;143501;;
ET-606B;BAÑOS;LAVAMANOS PEDESTAL NEGRO;271830;533000;426400;319800;103;141;14;258;700;40X40X83;1;1;35;PC;0;173;143501;;
ET-608B;BAÑOS;LAVAMANOS POCETA NEGRA CUADRADA ;589560;1156000;924800;693600;121;32;101;254;700;36x36;1;10;9;PC;0;102;143501;;
ET-608G;BAÑOS;LAVAMANOS POCETA GRIS CUADRADA ;534990;1049000;839200;629400;130;26;126;282;600;36x36;1;10;9;PC;0;86;143501;;
ET-608W;BAÑOS;LAVAMANOS POCETA BLANCA CUADRADA ;326910;641000;512800;384600;60;144;63;267;900;36x36;1;10;9;PC;0;82;143501;;
ET-650GG;BAÑOS;LAVAMANOS POCETA LUXURY DORADA OVALADA ;496740;974000;779200;584400;38;86;60;184;1900;60*40;1;10;10.5;PC;0;94;143501;;
ET-881;BAÑOS;SANITARIO SMART ;748170;1467000;1173600;880200;129;111;1;241;2000;ONE PIECE;1;4;52;PC;0;157;143501;;
FB036;OTROS;FRAGUA BLANCA PROTECTOR;108800;170000;153000;136000;93;16;117;226;1300;2K;1;2;2;CAJA;0;196;143501;;
FR0036;OTROS;FRAGUA CORONA BLANCO /1CAJA/ 2K;17280;27000;24300;21600;45;84;0;129;1800;2K;1;2;2;CAJA;0;199;143501;;
FR-2515;OTROS;FRAGUA INPEGA COLOR GRIS;103680;162000;145800;129600;102;21;37;160;1900;2K;1;2;2;CAJA;0;200;143501;;
FS00CR00;PISOS;PORCELANATO CARRARA VETA CLARA;526320;1032000;825600;619200;52;65;20;137;600;60X60;1.44;0;21.5;CAJA;1;257;143501;;
FTN-01;SERVICIO;FLETE TERRESTRE NACIONAL INTERRAPIDISIMO;0;35000;0;0;66;120;119;305;1800;-;-;-;0;WSD;0;369;143501;;
GB30404;PISOS;PORCELANATO NEGRO ZAFIRO;572220;1122000;897600;673200;57;48;73;178;1500;60X120;1.44;32;25.5;CAJA;2;267;143501;;
GL5778;PISOS;PORCELANATO KERALA;648720;1272000;1017600;763200;61;84;124;269;1200;60X120;1.44;32;27;CAJA;2;262;143501;;
GP566798;PISOS;PORCELANATO HAMBURG GREY;45390;89000;71200;53400;118;84;26;228;1400;60X60;1.44;44;23;CAJA;4;334;143501;;
GP569935;PISOS;PORCELANATO GUYARAT;531420;1042000;833600;625200;18;33;45;96;1200;60X60;1.44;44;26.5;CAJA;4;333;143501;;
GP569936;PISOS;PORCELANATO OLEAN GREY;403410;791000;632800;474600;85;85;136;306;700;60X60;1.44;44;27;CAJA;4;347;143501;;
GP577857;PISOS;PORCELANATO PULPIS GRIS;657390;1289000;1031200;773400;38;100;136;274;1000;60X60;1.44;44;26.35;CAJA;4;351;143501;;
GP60601;PISOS;PORCELANATO GRIS STONE OSCURO;563550;1105000;884000;663000;127;89;52;268;800;60X60;1.44;40;27;CAJA;4;332;143501;;
GP60601A;PISOS;PORCELANATO GRIS STONE CLARO;172380;338000;270400;202800;66;25;74;165;1900;60X60;1.44;40;27;CAJA;4;331;143501;;
GP60602;PISOS;PORCELANATO CARRARA;722670;1417000;1133600;850200;46;124;30;200;1000;60X60;1.44;40;27;CAJA;4;321;143501;;
GP60607A;PISOS;PORCELANATO BEIGE PERLADO ;696150;1365000;1092000;819000;75;81;10;166;1400;60X60;1.44;40;27;CAJA;4;309;143501;;
GP60607B;PISOS;PORCELANATO CAFE PERLADO;539070;1057000;845600;634200;120;116;33;269;800;60X60;1.44;40;27;CAJA;4;312;143501;;
GP60607C;PISOS;PORCELANATO GRIS PERLADO;164730;323000;258400;193800;24;55;80;159;600;60X60;1.44;40;27;CAJA;4;330;143501;;
GP60618;PISOS;PORCELANATO PIEDRAS DORADAS;728790;1429000;1143200;857400;114;2;70;186;900;60X60;1.44;40;27;CAJA;4;350;143501;;
GP60619;PISOS;PORCELANATO BLANCO BRILLANTE;233070;457000;365600;274200;130;105;58;293;1000;60X60;1.44;40;27;CAJA;4;310;143501;;
GP60622;PISOS;PORCELANATO CUARZO GRIS;181050;355000;284000;213000;131;90;86;307;700;60X60;1.44;40;27;CAJA;4;324;143501;;
GP63223;PISOS;PORCELANATO MIAMI;572220;1122000;897600;673200;101;24;45;170;500;60X60;1.44;40;27;CAJA;4;340;143501;;
GP6667;PISOS;PORCELANATO CUARZO BEIGE;495210;971000;776800;582600;21;107;131;259;1400;60X60;1.44;40;27;CAJA;4;323;143501;;
GP70330;PISOS;PORCELANATO BARDIGIO NATURAL;389640;764000;611200;458400;103;57;41;201;1600;60X60;1.44;44;26.35;CAJA;4;308;143501;;
GP70331;PISOS;PORCELANATO BARDIGIO GRIS;253470;497000;397600;298200;93;39;16;148;1500;60X60;1.44;44;26.35;CAJA;4;307;143501;;
GP70482;PISOS;PORCELANATO MALIBU GRIS;589560;1156000;924800;693600;38;141;99;278;1300;60X60;1.44;44;26.35;CAJA;4;336;143501;;
GP7061201;PISOS;PORCELANATO CALCUTA GRIS;113220;222000;177600;133200;42;104;103;249;1000;60X120;2.16;32;32;CAJA;3;286;143501;;
GP7061234;PISOS;PORCELANATO CALACATTA GOLD;511530;1003000;802400;601800;1;116;115;232;700;60X120;2.16;32;32;CAJA;3;285;143501;;
GP80115;PISOS;PORCELANATO CALCATTA GOLD;295290;579000;463200;347400;145;14;86;245;1900;60X60;1.44;44;26.35;CAJA;4;320;143501;;
GP80222;PISOS;PORCELANATO AVENZO BLANCO;470730;923000;738400;553800;107;60;102;269;1000;60X60;1.44;44;26.35;CAJA;4;306;143501;;
GP902658;PISOS;PORCELANATO KAMPUR STAR;207570;407000;325600;244200;107;38;111;256;1900;60X120;2.16;32;32;CAJA;3;294;143501;;
GP902658-A;PISOS;PORCELANATO KAMPUR STAR;434520;852000;681600;511200;6;36;47;89;2000;60X120;1.44;68;22.7;CAJA;2;261;143501;;
GP903451;PISOS;PORCELANATO BOMBAY STAR;646170;1267000;1013600;760200;6;16;77;99;1700;60X120;2.16;32;26.5;CAJA;3;283;143501;;
GP905473;PISOS;PORCELANATO MANALI STAR;499290;979000;783200;587400;74;115;127;316;500;60X120;2.16;32;32;CAJA;3;296;143501;;
GP905473-A;PISOS;PORCELANATO MANALI STAR;683400;1340000;1072000;804000;115;51;47;213;1900;60X120;1.44;68;22.7;CAJA;2;265;143501;;
GRF-01;GRIFERIA;GRIFO 1;36480;57000;51300;45600;100;49;59;208;1300;61.3*55*52;1;2;4.5;PC;0;190;143501;;
GRF-02;GRIFERIA;GRIFO 2;123520;193000;173700;154400;147;118;145;410;1100;65.5*65.5*53;1;3;5.5;PC;0;191;143501;;
GRF-03;GRIFERIA;GRIFO 3;64640;101000;90900;80800;134;86;1;221;1800;58*44*49;1;4;6.5;PC;0;192;143501;;
GRF-04;GRIFERIA;GRIFO 4;21760;34000;30600;27200;39;134;129;302;700; 58*44*49;1;5;7.5;PC;0;193;143501;;
GRF-05;GRIFERIA;GRIFO 5;37760;59000;53100;47200;65;97;47;209;1400; 66*65*53;1;6;8.5;PC;0;194;143501;;
HG5577;PISOS;PORCELANATO SPIDER GOLD ;89250;175000;140000;105000;118;9;26;153;1300;60X120;1.44;64;26.5;CAJA;2;274;143501;;
IN-10101;OTROS;PEGANTE CERAMICO INPEGA ;99840;156000;140400;124800;138;45;130;313;600;25K;1;25;25;BULTO;0;202;143501;;
IN-9115;PISOS;PORCELANATO SALT-SOLUBLE BEIGE PLANO IVORY;159120;312000;249600;187200;140;138;96;374;1500;60X60;1.44;52;22.5;CAJA;4;355;143501;;
K318G;ACCESORIOS;ESPEJO 60X80 LED CUAD BORDE PL;71680;112000;100800;89600;43;48;31;122;900;1;1;1;1;PC;0;12;143501;;
K319G;ACCESORIOS;ESPEJO 60X80 LED RD BORDE PLAT;125440;196000;176400;156800;58;14;5;77;1800;1;1;1;1;PC;0;13;143501;;
LLG36001;PARED;PARED BLANCA PLANA PERU;696150;1365000;1092000;819000;72;9;16;97;600;30X60;1.62;60;24.5;CAJA;9;224;143501;;
LLG36040;PARED;PARED BARRANCA GOLD;355980;698000;558400;418800;133;58;102;293;2000;30X60;1.62;60;24.5;CAJA;9;223;143501;;
LLG36045;PARED;PARED RIOJA;270300;530000;424000;318000;137;34;34;205;500;30X60;1.62;60;24.5;CAJA;9;232;143501;;
LVP-01;BAÑOS;LAVAPLATOS ANTIRUIDO ;388620;762000;609600;457200;122;109;133;364;1000;800*500*150;1;1;3;PC;0;114;143501;;
LVP-03;BAÑOS;LAVAPLATOS ANTIRUIDO ;702780;1378000;1102400;826800;120;27;123;270;1800;1000*500*150;1;1;3.5;PC;0;115;143501;;
LVP-06;BAÑOS;LAVAPLATOS ANTIRUIDO ;517650;1015000;812000;609000;72;52;113;237;1900; 750*460*220;1;1;5;PC;0;116;143501;;
LYG63012AL;PARED;PARED CALLAO GRIS CLARO;610470;1197000;957600;718200;94;98;92;284;1400;30X60;1.62;60;24.5;CAJA;9;227;143501;;
OG63715D;PISOS;PORCELANATO TRAVERTINO NEGRO;634950;1245000;996000;747000;115;72;4;191;1700;60X60;1.44;40;27;CAJA;4;357;143501;;
OG66010;PISOS;PORCELANATO CALACATA LIMA;708390;1389000;1111200;833400;39;36;36;111;700;60X60;1.44;40;29;CAJA;4;316;143501;;
OG66011;PISOS;PORCELANATO CALACATA PIURA;524280;1028000;822400;616800;99;130;103;332;1200;60X60;1.44;40;27;CAJA;4;317;143501;;
OG66011;PISOS;PORCELANATO CALACATA PIURA;615570;1207000;965600;724200;46;19;27;92;1900;60X60;1.44;40;29;CAJA;4;318;143501;;
OG66021;PISOS;PORCELANATO AREQUIPA BEIGE;230010;451000;360800;270600;23;78;13;114;1700;60X60;1.44;40;29;CAJA;4;305;143501;;
OG66025;PISOS;PORCELANATO JUNIN CLARO;603330;1183000;946400;709800;120;121;78;319;700;60X60;1.44;40;29;CAJA;4;335;143501;;
OG66031;PISOS;PORCELANATO GOTAS;61200;120000;96000;72000;91;84;148;323;900;60X60;1.44;40;29;CAJA;4;329;143501;;
OG66037;PISOS;PORCELANATO MARMOLIZADO BEIGE;694620;1362000;1089600;817200;125;113;145;383;2000;60X60;1.44;40;29;CAJA;4;338;143501;;
OG66039;PISOS;PORCELAANTO INCA BEIGE;200430;393000;314400;235800;94;127;81;302;800;60X60;1.44;40;29;CAJA;4;303;143501;;
OG66040;PISOS;PORCELANATO CUSCO GRIS OSCURO;554370;1087000;869600;652200;128;110;1;239;1600;60X60;1.44;40;29;CAJA;4;327;143501;;
OG66044;PISOS;PORCELANATO CUSCO GRIS CLARO;370770;727000;581600;436200;17;21;21;59;1300;60X60;1.44;40;29;CAJA;4;326;143501;;
OG6615D;PISOS;PORCELANATO NEGRO ALASKA;545700;1070000;856000;642000;128;132;50;310;1800;60X60;1.44;44;25.5;CAJA;4;344;143501;;
OM0014;FACHADA;FACHADA CANDELARIA (OMICRON 14);96390;189000;151200;113400;26;88;6;120;1200;31X56;1.39;60;21;CAJA;8;183;143501;;
OM0016;FACHADA;FACHADA BRAZILIA (OMICRON 16);300900;590000;472000;354000;103;113;45;261;600;31X56;1.39;60;21;CAJA;8;182;143501;;
OM0020;FACHADA;FACHADA ROYAL (OMICRON 2);202980;398000;318400;238800;37;22;81;140;1900;31X56;1.39;60;21;CAJA;8;187;143501;;
OM0030;FACHADA;FACHADA NATURA (OMICRON 3);36210;71000;56800;42600;133;117;75;325;1900;31X56;1.39;60;21;CAJA;8;186;143501;;
OM0040;FACHADA;FACHADA ARIZONA (OMICRON 4);714000;1400000;1120000;840000;49;39;102;190;1200;31X56;1.39;60;21;CAJA;8;181;143501;;
OM0070;FACHADA;FACHADA FLORIDA (OMICRON 7);424320;832000;665600;499200;77;141;53;271;1400;31X56;1.39;60;21;CAJA;8;184;143501;;
OM0090;FACHADA;FACHADA GRAFITO (OMICRON 9);165240;324000;259200;194400;148;97;125;370;1100;31X56;1.39;60;21;CAJA;8;185;143501;;
P4164;PISOS;PORCELANATO ONIX GRIS;431970;847000;677600;508200;10;140;78;228;1200;60X60;1.44;40;27;CAJA;4;349;143501;;
P4165;PISOS;PORCELANATO ONIX BEIGE;503370;987000;789600;592200;8;74;101;183;1300;60X60;1.44;40;27;CAJA;4;348;143501;;
P61202VD;PISOS;PORCELANATO FIORITO ;341700;670000;536000;402000;131;82;62;275;1400;60X120;2.16;32;46;CAJA;3;291;143501;;
P61205VD;PISOS;PORCELANATO BLANCO ESTELAR;168300;330000;264000;198000;39;128;145;312;800;60X120;2.16;32;46;CAJA;3;282;143501;;
P61212VD;PISOS;PORCELANATO BLANCO ARTICO GOLD;442680;868000;694400;520800;133;36;32;201;1900;60X120;2.16;32;46;CAJA;3;281;143501;;
P61251;PISOS;PORCELANATO EVEREST;399840;784000;627200;470400;2;11;52;65;500;60X120;2.16;52;46;CAJA;3;290;143501;;
P61252;PISOS;PORCELANATO KIEV;587520;1152000;921600;691200;124;150;88;362;600;60X120;2.16;52;46;CAJA;3;295;143501;;
P61257;PISOS;PORCELANATO ESTATUARIA PURO ;311610;611000;488800;366600;120;93;145;358;600;60X120;2.16;32;46;CAJA;3;289;143501;;
P6646;PISOS;PORCELANATO VALDIVIA;460530;903000;722400;541800;124;83;61;268;600;60X60;1.44;44;27;CAJA;4;359;143501;;
P6650;PISOS;PORCELANATO AMPARO;500310;981000;784800;588600;12;106;64;182;600;60X60;1.44;44;27;CAJA;4;304;143501;;
P6675;PISOS;PORCELANATO CALACATA ROYAL;38250;75000;60000;45000;58;91;102;251;1300;60X61;1.44;44;27;CAJA;4;319;143501;;
P6676;PISOS;PORCELANATO CALACATA IMPERIAL;93330;183000;146400;109800;144;109;77;330;1400;60X62;1.44;44;27;CAJA;4;315;143501;;
PB3000;PISOS;PORCELANATO SUPER NEGRO JADE;380970;747000;597600;448200;20;141;46;207;1900;60X120;1.44;68;26.5;CAJA;2;278;143501;;
PC011;OTROS;PEGANTE CERAMICO PROTECTOR;181760;284000;255600;227200;9;64;139;212;1400;25K;1;25;25;BULTO;0;203;143501;;
PP004;OTROS;PEGANTE PORCELANICO INPEGA ;12160;19000;17100;15200;134;16;48;198;1300;25K;1;25;25;BULTO;0;204;143501;;
PP012;OTROS;PEGANTE PORCELANICO PROTECTOR;133120;208000;187200;166400;150;6;85;241;500;25K;1;25;25;BULTO;0;205;143501;;
S002C;BAÑOS;LAVAPLATOS INOX SELTOS CEPILLADO;181560;356000;284800;213600;116;83;1;200;1500;75*46*25;1;8;10.5;PC;0;119;143501;;
S002G;BAÑOS;LAVAPLATOS INOX SELTOS DORADO;395760;776000;620800;465600;59;72;110;241;1400;75*46*25;1;7;9.5;PC;0;120;143501;;
S003B;BAÑOS;LAVA PLATOS INOX SOULD NEGRO;723180;1418000;1134400;850800;32;101;94;227;800;80.5*50*26.7;1;11;13.5;PC;0;77;143501;;
S003C;BAÑOS;LAVAPLATOS INOX SOULD PLATEADO;755310;1481000;1184800;888600;34;147;61;242;1700;80.5*50*26.7;1;10;12.5;PC;0;122;143501;;
S003G;BAÑOS;LAVAPLATOS INOX SOULD DORADO;78540;154000;123200;92400;100;109;15;224;500;80.5*50*26.7;1;12;14.5;PC;0;121;143501;;
S004B;BAÑOS;LAVAPLATOS INOX STONIC NEGRO;395250;775000;620000;465000;82;145;38;265;1100;80.5*50*26.8;1;13;15.5;PC;0;124;143501;;
S004C;BAÑOS;LAVAPLATOS INOX STONIC PLATEADO;525810;1031000;824800;618600;105;137;3;245;1800;75*46*27;1;14;16.5;PC;0;125;143501;;
S004G;BAÑOS;LAVAPLATOS INOX STONIC DORADO;419730;823000;658400;493800;145;62;3;210;600;80.5*50*26.8;1;15;17.5;PC;0;123;143501;;
S005B;BAÑOS;LAVAPLATOS INOX NIRO NEGRO;654330;1283000;1026400;769800;57;144;149;350;700;80.5*50*26.8;1;9;11.5;PC;0;117;143501;;
S005C;BAÑOS;LAVAPLATOS INOX NIRO PLATEADO;316710;621000;496800;372600;43;67;52;162;1400;80.5*50*26.8;1;16;18.5;PC;0;118;143501;;
SH5779;PISOS;PORCELANATO GUYARAT;339660;666000;532800;399600;64;79;107;250;1900;60X120;1.44;32;27;CAJA;2;260;143501;;
SK402341;PISOS;PORCELANATO SINKER ALPES ;556920;1092000;873600;655200;81;10;88;179;1100;60X120;1.44;68;27;CAJA;2;270;143501;;
SK402342;PISOS;PORCELANATO SINKER AGRA ;495720;972000;777600;583200;108;95;142;345;1600;60X120;1.44;68;27;CAJA;2;269;143501;;
SK402343;PISOS;PORCELANATO SINKER CASTILLO ;25500;50000;40000;30000;36;74;94;204;1900;60X120;1.44;68;27;CAJA;2;271;143501;;
SK402344;PISOS;PORCELANATO SINKER OZUL;701250;1375000;1100000;825000;14;115;92;221;900;60X120;1.44;68;27;CAJA;2;272;143501;;
ST2208;PISOS;PORCELANATO SPARK BLANCO;6630;13000;10400;7800;137;61;44;242;1600;60X120;1.44;32;27;CAJA;2;273;143501;;
ST2213;PISOS;PORCELANATO STATUARIO BLANCO;606390;1189000;951200;713400;89;26;6;121;900;60X120;1.44;32;27;CAJA;2;275;143501;;
ST2216;PISOS;PORCELANATO KINDER BLANCO ;218280;428000;342400;256800;12;35;41;88;700;60X120;1.44;32;27;CAJA;2;263;143501;;
ST2235;PISOS;PORCELANATO PUMA GRIS ;56100;110000;88000;66000;42;107;70;219;1500;60X120;1.44;32;27;CAJA;2;268;143501;;
ST8901B;PISOS;PORCELANATO SUPER NEGRO ;441660;866000;692800;519600;86;39;65;190;700;60X120;1.44;32;27;CAJA;2;277;143501;;
ST8919C;PISOS;PORCELANATO GRIS PLAZA CLARO;132090;259000;207200;155400;102;110;79;291;1200;60X120;1.44;32;27;CAJA;2;258;143501;;
ST8919O;PISOS;PORCELANATO GRIS PLAZA OSCURO;301920;592000;473600;355200;116;49;10;175;1500;60X120;1.44;32;27;CAJA;2;259;143501;;
SW3200;PISOS;PORCELANATO SUPER BLANCO;311610;611000;488800;366600;58;35;3;96;1200;60X120;1.44;68;26.5;CAJA;2;276;143501;;
T3201;ACCESORIOS;ESPEJO LED 60X80;72320;113000;101700;90400;65;102;95;262;600;3;1;1;1;PC;0;17;143501;;
T63984;PISOS;PORCELANATO MILAN GOLD;171360;336000;268800;201600;68;116;93;277;1400;60X120;2.16;48;43;CAJA;3;297;143501;;
TEX4-A;ACCESORIOS;TAPETE JIRAFA;121600;190000;171000;152000;119;84;65;268;1400;60*60*1 SETX4;1;0;0;CAJA;4;60;143501;;
TEX4-B;ACCESORIOS;TAPETE NUMEROS;9600;15000;13500;12000;62;28;32;122;2000;60*60*1 SETX4;1;0;0;CAJA;4;67;143501;;
TEX4-C;ACCESORIOS;TAPETE KOALA;51840;81000;72900;64800;20;107;70;197;700;60*60*1 SETX4;1;0;0;CAJA;4;66;143501;;
TEX4-D;ACCESORIOS;TAPETE BALLENA;62080;97000;87300;77600;88;11;134;233;1300;60*60*1 SETX4;1;0;0;CAJA;4;62;143501;;
TEX4-E;ACCESORIOS;TAPETE UNICORNIO;37120;58000;52200;46400;57;2;23;82;1900;60*60*1 SETX4;1;0;0;CAJA;4;69;143501;;
TEX4-F;ACCESORIOS;TAPETE GRANJA;8320;13000;11700;10400;77;53;83;213;1600;60*60*1 SETX4;1;0;0;CAJA;4;64;143501;;
TEX4-G;ACCESORIOS;TAPETE ARDILLA;32640;51000;45900;40800;0;37;91;128;1500;60*60*1 SETX4;1;0;0;CAJA;4;61;143501;;
TEX4-H;ACCESORIOS;TAPETE BARCO;10880;17000;15300;13600;133;6;47;186;1700;60*60*1 SETX4;1;0;0;CAJA;4;63;143501;;
TEX4-I;ACCESORIOS;TAPETE OSO;22400;35000;31500;28000;141;135;8;284;1800;60*60*1 SETX4;1;0;0;CAJA;4;68;143501;;
TEX4-J;ACCESORIOS;TAPETE HELADOS;27520;43000;38700;34400;37;67;59;163;600;60*60*1 SETX4;1;0;0;CAJA;4;65;143501;;
TEX6-A;ACCESORIOS;TAPETE NUMEROS;7680;12000;10800;9600;89;108;21;218;1000;58*58*2;1;0;0;CAJA;6;72;143501;;
