id;nombres;apellidos;razonSocial;tipoPersona;tipoIdentificacion;noIdentificacion;dv;contacto;nombreComercial;direccion;ciudad;codigoCiudad;departamento;codigoDepartamento;asesorComercial;telefono1;telefono2;email2;cupoCredito;maximoFacturas;estado;email2;;;;;;;;;;;;
77;RICARDO ESTEBAN;RIVERA GALLO;RICARDO ESTEBAN RIVERA GALLO ;13 - NATURAL;CC;1006050518;1;RICARDO ESTEBAN RIVERA GALLO - DISTRICERAMICAS;DISTRICERAMICAS RYS;CL 8 73 79 ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3206532935;;a14180804@gmail.com  / districeramicasrys@gmail.com;0;1;activo;;;;;;;;;;;;;
78;JOSE MANUEL;VERA SALGADO;JOSE MANUEL VERA SALGADO ;13 - NATURAL;CC;1007522187;5;JOSE MANUEL VERA SALGADO ;JOSE MANUEL VERA SALGADO ;CRR MONTEBELLO AV 47 OESTE 9 A 59;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3107918723;;verasalgado2002@gmail.com;0;1;activo;;;;;;;;;;;;;
79;DEISY YASMIN;VIVAS IDROBO;DEISY YASMIN VIVAS IDROBO;13 - NATURAL;CC;1060866483;1;DEISY YASMIN VIVAS IDROBO;-;CRA 94 B 2 46 APTO 203 TORRE 2 RESERVA DE MELENDEZ 1;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3155822206;3059876;deisyyasminvivasidrobo@gmail.com;0;1;activo;;;;;;;;;;;;;
80;MARIA MONICA;ERAZOMORENO ;MARIA MONICA ERAZOMORENO ;13 - NATURAL;CC;1086920473;1;ALEX ;SURTICERAMICA DEL VALLE ;CR 8 71 15;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3117341714;;mnk9901@hotmail.com;0;1;activo;;;;;;;;;;;;;
81;JOSE HERMIS;ANGULO MICOLTA;JOSE HERMIS ANGULO MICOLTA;13 - NATURAL;CC;1089802654;3;JOSE HERMIS ANGULO MICOLTA;CONSTRU OUTLET LA MAYOR ;CRA 8 73 57 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3177696933;;acabadoslamayor@gmail.com;0;1;activo;;;;;;;;;;;;;
82;FREDDY AGUIRRE;GARCIA ;FREDDY AGUIRRE  GARCIA ;13 - NATURAL;CC;1107081945;0;FREDY AGUIRRE  GARCIA ;ACABADOS LUXURY ;CRA 7 U 72 90 LC 2 ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3104442110;;acabados_diuxury@hotmail.com;0;1;activo;;;;;;;;;;;;;
83;BRANDON ENRIQUE;PAZ RESTREPO;BRANDON ENRIQUE PAZ RESTREPO;13 - NATURAL;CC;1107082962;0;BRANDON ENRIQUE PAZ ;FERROCERAMICAS PAZ;CL 15 # 11-89;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3065999;3164044678;brandon.05paz@gmail.com;0;1;activo;;;;;;;;;;;;;
84;ARCESIO DE JESUS;GIRALDO DUQUE;ARCESIO DE JESUS GIRALDO DUQUE ;13 - NATURAL;CC;1118282509;5;LUISA;CHECHO BABYS;CR 9  13  68  LC 135 B CALVARIO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3184099854;8850283;checho514@hotmail.com;0;1;activo;;;;;;;;;;;;;
85;EDGAR ANDRES;CARVAJAL CARDONA;EDGAR ANDRES CARVAJAL CARDONA;13 - NATURAL;CC;1130605546;1;EDGAR ANDRES CARVAJAL / HEIBER;JOVA ;CR 47 A 13 B 73;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3052376195;3354930;andrescali007@hotmail.com;0;1;activo;;;;;;;;;;;;;
86;LIS KEYDI;HENAO ;LIS KEYDI HENAO ;13 - NATURAL;CC;1130628925;7;LUISA - DIEGO-JULIAN ;CERAMICAS SUPER MATERIALES;CR 8 72 B 60;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3137122086/3114198022;;lissyhenao@hotmail.com;0;1;activo;;;;;;;;;;;;;
87;NELSON ANDRES;AGREDO MARULANDA;NELSON ANDRES AGREDO MARULANDA;13 - NATURAL;CC;1130658224;0;NELSON ANDRES AGREDO MARULANDA;-;CL 12 23 D 44;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3127501109;;agredoag@hotmail.com;0;1;activo;;;;;;;;;;;;;
88;LUIS EDUARDO;BUENO GALINDO;LUIS EDUARDO BUENO GALINDO ;13 - NATURAL;CC;1130666334;6;LUIS EDUARDO BUENO GALINDO ;COMERCIALIZADORA BUENO PAEZ;CR 91 27 09 B. BONILLA ARAGON;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3112925123;3127056841;luisepascal@hotmail.com;0;1;activo;;;;;;;;;;;;;
89;EDWIN FERNANDO;RODRIGUEZ ARCILA;EDWIN FERNANDO RODRIGUEZ ARCILA ;13 - NATURAL;CC;1130667777;1;EDWIN FERNANDO RODRIGUEZ ARCILA ;METRO CUADRADO CERAMICA Y CONSTRUCCION ; CL 36 34 45;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3164969713;;edfercho86@hotmail.com;0;1;activo;;;;;;;;;;;;;
90;DIEGO ALEXANDER;UNI TOCORA;DIEGO ALEXANDER UNI TOCORA;13 - NATURAL;CC;1130678360;1;DIEGO ALEXANDER UNI TOCORA;FERROCERAMICAS DYD;CL 10 60 83 B. SANTA ANITA;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3138032485;5518418;ferreceramicastura@gmail.com;0;1;activo;;;;;;;;;;;;;
91;NELSON LEONARDO;MUÑOZ ROJA;NELSON LEONARDO MUÑOZ ROJA ;13 - NATURAL;CC;1130683688;1;NELSON LEONARDO MUÑOZ ROJA ;-;CRA 39 C 41 61;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3127772665;;leomr-1989@hotmail.com;0;1;activo;;;;;;;;;;;;;
92;MAURICIO TORRES;VIERA ;MAURICIO TORRES VIERA ;13 - NATURAL;CC;1136059664;1;MAURICIO TORRES VIERA ;MULTICERAMICA LA 39;CL 10 40 A 46 B. CAMBULOS ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3184171058;;multieramicala39@gmail.com;0;1;activo;;;;;;;;;;;;;
93;; ;MACROCERAMICAS;13 - NATURAL;CC;1143824002;1;ANDRES FELIPE MILLAN ;-;CL 15 #11-95;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR; 318 5557000;;andresmillanhr@gmail.com;0;1;activo;;;;;;;;;;;;;
94;LORENA CARDONA;ALBA ;LORENA CARDONA  ALBA;13 - NATURAL;CC;1143830129;2;LORENA CARDONA  ALBA;-;CL 13 C70 87 B. QUINTAS DE DON SIMON ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3157719332;;lory-gito@hotmail.com;0;1;activo;;;;;;;;;;;;;
95;GILDARDO ANTONIO;GIRALDO SANCHEZ;GILDARDO ANTONIO GIRALDO SANCHEZ;13 - NATURAL;CC;1143842617;7;GILDARDO/DAYANA /YENIFER;FERROCERAMICAS EL MONO ;CR 7 L  73 92 B. ALFONZO LOPEZ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3154555309;5137905;ferroceramicaselmono@gmail.com;0;1;activo;;;;;;;;;;;;;
96;ANDREA ESTEFANIA;LOPEZ VAQUERO;ANDREA ESTEFANIA LOPEZ VAQUERO ;13 - NATURAL;CC;1143853914;7;ANDREA ESTEFANIA LOPEZ VAQUERO ;MUNDO BEBE CALI;CRA 24 B 2 A 79;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3166720409;3205167160;asthefanialb@gmail.com;0;1;activo;;;;;;;;;;;;;
97;CAROLINA CARDONA;GONZALEZ ;CAROLINA CARDONA GONZALEZ;13 - NATURAL;CC;1143871709;1;HAROLD CARDONA ;MUNDIAL DE LAVADEROS LOCAL 2;CALLE 15 13-21;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3104224096;;;0;1;activo;;;;;;;;;;;;;
98;EDWIN STIVEN;OBANDO SALAZAR;EDWIN STIVEN OBANDO SALAZAR ;13 - NATURAL;CC;1143959705;0;EDWIN STIVEN OBANDO SALAZAR ;FERROGAS SAS;CL 72 D 3 A N 42;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3166662693;;maykellzalazar@gmail.com;0;1;activo;;;;;;;;;;;;;
99;STEPHANNY TORRES;CABRERA ;STEPHANNY TORRES CABRERA;13 - NATURAL;CC;1144067390;1;STEPHANNY TORRESCABRERA;IKER KIDS(PAÑALERA );CL 2 94 C 20;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3007228056;;stefin-15@hotmail.com;0;1;activo;;;;;;;;;;;;;
100;DANNY MELISSA;MILLAN VARELA;DANNY MELISSA MILLAN VARELA;13 - NATURAL;CC;1144100911;8;SANDRA MILLAN;MACRO CERAMICAS;CL 15 11 95;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3168560758;3168559820;macroceramicasmv@gmail.com;0;1;activo;;;;;;;;;;;;;
101;DERLY ALEJANDRA;DOMINGUEZ LOPEZ;DERLY ALEJANDRA DOMINGUEZ LOPEZ;13 - NATURAL;CC;1144151250;6; DERLY ALEJANDRA DOMINGUEZ;-;CL 53 98 91 AP 903 TO 3;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3367924;3186729978;di.alejandrodominguez@gmail.com;0;1;activo;;;;;;;;;;;;;
102;DANIELA PEÑA;PIAMBA ;DANIELA PEÑA PIAMBA ;13 - NATURAL;CC;1144158402;0;MARISEL ;HOME DEKOR ;CR 5 21 31 ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3116161645;3057838573;danielita.1606@hotmail.com;0;1;activo;;;;;;;;;;;;;
103;INGRID KATHERINE;BASANTE CORTES;INGRID KATHERINE BASANTE CORTES;13 - NATURAL;CC;1144182525;9;NELSON ;CONSTRU OUTLET ;CR 8 73 13 ESQ, BARRIO ALFONZO LOPEZ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3153107094;6561647;construoutletcali@gmail.com;0;1;activo;;;;;;;;;;;;;
104;OSCAR EDUARDO;PALECHOR ALVIZ;OSCAR EDUARDO PALECHOR ALVIZ;13 - NATURAL;CC;1144184054;0;OSCAR EDUARDO PALECHOR ALVIZ;EL REY ;CL 22 5 06 B. SAN NICOLAS ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3166307684;;oscareduardopalechoralvis@gmail.com;0;1;activo;;;;;;;;;;;;;
105;ANDRES FELIPE;CAMAYO ;ANDRES FELIPE CAMAYO ;13 - NATURAL;CC;1061698328;9;ANDRES FELIPE CAMAYO ;HIPERCERAMICA LA 15;CL 15 12 87;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3146412483;;t.orny@hotmail.com;0;1;activo;;;;;;;;;;;;;
106;JOSE KEVIN;PONCE ;JOSE KEVIN PONCE ;13 - NATURAL;CC;1087194549;0;JOSE KEVIN PONCE ;FERRETODO LA 5;K 5 C 07-60;CALOTO;;CAUCA;;BLADIMIR DIAZ;3185959252;;keponced10@gmail.com;0;1;activo;;;;;;;;;;;;;
107;CARLOS LOPEZ;TOVAR ;CARLOS LOPEZ TOVAR;13 - NATURAL;CC;16919404;;CARLOS LOPEZ;0;CR 21 10 32 ;DAGUA;;;;BLADIMIR DIAZ;3174923879;;carlopez2050@gmail.com;0;1;activo;;;;;;;;;;;;;
108;DIANA PATRICIA;GIRALDO GUTIERREZ;DIANA PATRICIA GIRALDO GUTIERREZ;13 - NATURAL;CC;24870750;5;DIANA        ;DECORANDO EL EJE CAFETERO;CRA 10 47 38;DOSQUEBRADAS;;RISARALDA;;BLADIMIR DIAZ;3113592949;;dianagiraldo910@gmail.com;0;1;activo;;;;;;;;;;;;;
109;ALEXANDER BEDOYA;GUZMAN ;ALEXANDER BEDOYA GUZMAN;13 - NATURAL;CC;16888055;4;ALEXANDER BEDOYA GUZMAN;ALEXANDER BEDOLLA GUZMAN ;CL 9 4 40 B. LOS ALMENDROS ;FLORIDA ;;VALLE;;BLADIMIR DIAZ;3015409482;3113709819;unlimitedelectri2636180@gmail.com;0;1;activo;;;;;;;;;;;;;
110;LEIDY YOHANNA;VELASCO MARTINEZ;LEIDY YOHANNA VELASCO MARTINEZ;13 - NATURAL;CC;29506643;4;ENMANUEL CERON;CONSTRUCERAMICAS FLORIDA;CL 8 #14 22;FLORIDA ;;VALLE;;BLADIMIR DIAZ;3184361038;;carita1015@hotmail.com;0;1;activo;;;;;;;;;;;;;
111;SAMANTHA LINARES;MARIN ;SAMANTHA LINARES MARIN;13 - NATURAL;CC;1144089681;2;SAMANTHA LINARES MARIN;-;CL 11 12 23 P1;FLORIDA ;;VALLE;;BLADIMIR DIAZ;3178878046;;samanthalinaresmarin@gmail.com;0;1;activo;;;;;;;;;;;;;
112;SILVANA ANDREA;VARELA FRANCO;SILVANA ANDREA VARELA FRANCO;13 - NATURAL;CC;31330941;4;SILVANA ANDREA VARELA FRANCO;TERRANO DISTRIBUCIONES;CL 12 SUR 10 109;GUADALAJARA DE BUGA;;VALLE;;BLADIMIR DIAZ;3193907651;3054591111;ventas1terrano@hotmail.com;0;1;activo;;;;;;;;;;;;;
113;ANGELICA ALEJANDRA;AGUILAR SAAVEDRA;ANGELICA ALEJANDRA AGUILAR SAAVEDRA;13 - NATURAL;CC;1115082475;4;WILLIAM VILLAFAÑE;ANGELICA ALEJANDRA AGUILAR SAAVEDRA;CR 15 2 SUR 13 BRR LOS ANGELES;GUADALAJARA DE BUGA;;VALLE;;BLADIMIR DIAZ;3178371788;3007051136;angelika.aguilar@hotmail.com;0;1;activo;;;;;;;;;;;;;
114;IVONNE PATRICIA;PEÑA VALDERRAMA;IVONNE PATRICIA PEÑA VALDERRAMA;13 - NATURAL;CC;38670713;5;IVONNE-JAIRO ;IVONNE PATRICIA PEÑA VALDERRAMA;CR 11 6 40 B. LA ESMERALDA ;JAMUNDI;;VALLE;;BLADIMIR DIAZ;3159270686;;ivonp1226@hotmail.com;0;1;activo;;;;;;;;;;;;;
115;JOHAN ALEXANDER;LARGACHA CUERO;JOHAN ALEXANDER LARGACHA CUERO;13 - NATURAL;CC;1006387193;7;ANDRES SALAZAR;PORCEMAX Y PVC JYM;CR 12 8 25 BRR LA ESTACION;JAMUNDI;;VALLE;;CIELO VILLAMIZAR;3027434443;;jhojancuero1994@gmail.com;0;1;activo;;;;;;;;;;;;;
116;; ;CONSUMIDOR FINAL;13 - NATURAL;NIT;2222222222;;-;-;N/A;N/A;;;;BLADIMIR DIAZ;N/A;;na@n/a.com;0;1;activo;;;;;;;;;;;;;
117;HERNANDO JAVIER;BENAVIDEZ CAICEDO;HERNANDO JAVIER BENAVIDEZ CAICEDO;13 - NATURAL;CC;18186972;8;HERNAN CAIDEDO;-;CLL 7 7A 16;ORITO;;PUTUMAYO;;BLADIMIR DIAZ;3133159710;;ceramicasymateriales1@gmail.com;0;1;activo;;;;;;;;;;;;;
118;AURA MERY;ARANA CEDANO;AURA MERY ARANA CEDANO;13 - NATURAL;CC;31176224;1;JACQUELINE ;CONSTRUCERAMICAS PALMIRA;CL 28 27 59;PALMIRA ;;VALLE ;;CIELO VILLAMIZAR;2855430;3174414283;construceramicas2016@gmail.com;0;1;activo;;;;;;;;;;;;;
119;JULIAN FERNANDO;RODRIGUEZ GRAJALES;JULIAN FERNANDO RODRIGUEZ GRAJALES;13 - NATURAL;CC;1089718052;0;JULIAN FERNANDO RODRIGUEZ GRAJALES;DECOR CERAMICAS PALMIRA;CL 28 26 15;PALMIRA ;;VALLE ;;CIELO VILLAMIZAR;3226826355;;decorceramicas1324@gmail.com;0;1;activo;;;;;;;;;;;;;
120;BERNARDO RUFINO;VITERI ORTEGA;BERNARDO RUFINO VITERI ORTEGA;13 - NATURAL;CC;1086498547;;BERNARDO RUFINO VITERI ORTEGA;-;CL 17 11 24 BRR FATIMA;PASTO;;NARIÑO;;BLADIMIR DIAZ;3212282496;3106890548;contabilidadarquincocolombia@gmail.com;0;1;activo;;;;;;;;;;;;;
121;MANUEL ALEJANDRO;CASTAÑO RAMIREZ;MANUEL ALEJANDRO CASTAÑO RAMIREZ;13 - NATURAL;CC;1088277599;1;0;INAQUA DISTRIBUCIONES;MZ 0 CA 14 BRR HACIENDA CUBA;PEREIRA;;RISARALDA;;BLADIMIR DIAZ;3016442522;3042550661;inaquadistribuciones@gmail.com;0;1;activo;;;;;;;;;;;;;
122;DANIEL ORLANDO;TRUJILLO GALLO;DANIEL ORLANDO TRUJILLO GALLO;13 - NATURAL;CC;1088331187;1;DANIEL;DANIEL ORLANDO TRUJILLO GALLO;CR 7 32 17 BRR PRIMERO DE MAYO;PEREIRA;;RISARALDA;;BLADIMIR DIAZ;3218710370;;distribuidorceramico2024@gmail.com;0;1;activo;;;;;;;;;;;;;
123;NIGER ALEXIS;MONCADA HOYOS;NIGER ALEXIS MONCADA HOYOS;13 - NATURAL;CC;1112775420;3;NIGER ALEXIS MONCADA HOYOS;SPACIO CERAMICOS M.M;CRA 7 N 30 75 BRR CENTRO;PEREIRA;;RISARALDA;;BLADIMIR DIAZ;3117730177;;spacioceramicomm@gmail.com;0;1;activo;;;;;;;;;;;;;
124;ELI BERNARDO;CALDERON CAICEDO;ELI BERNARDO CALDERON CAICEDO;13 - NATURAL;CC;18110978;5;ELI BERNARDO CALDERON CAICEDO ;CERAMICAS Y FERRETERIA LA PROOCION ;CL 10 22 15;PUERTO ASIS ;;PUTUMAYO ;;BLADIMIR DIAZ;3112221207;;cuygangas@hotmail.com;0;1;activo;;;;;;;;;;;;;
125;KARINA VARGAS;RAMIREZ ;KARINA VARGAS RAMIREZ;13 - NATURAL;CC;1123306594;;KARINA;KARINA VARGAS RAMIREZ;0;PUERTO ASIS ;;PUTUMAYO ;;BLADIMIR DIAZ;3124953186;;karinavargas920911@gmail.com;0;1;activo;;;;;;;;;;;;;
126;CARLOS EDUARDO;HERNANDEZ PEREZ;CARLOS EDUARDO HERNANDEZ PEREZ;13 - NATURAL;CC;1054925213;1;CARLOS HERNANDEZ;CERAMICAS RESTREPO;CL 8 10 40;RESTREPO ;;VALLE;;CIELO VILLAMIZAR;3205844699;;ceramicas.restrepo23@gmail.com;0;1;activo;;;;;;;;;;;;;
127;JOSE DUVAN;MARTINEZ GONZALEZ;JOSE DUVAN MARTINEZ GONZALEZ;13 - NATURAL;CC;80052504;4;JOSE DUVAN ;CERAMICAS LA SEPTIMA;CR 7 34 32;RISARALDA;;PEREIRA;;CIELO VILLAMIZAR;3260763;3122114684;ceramicaslaseptima2009@live.com;0;1;activo;;;;;;;;;;;;;
128;;;INVERSIONES Y ACABADOS CARSAN SAS -ZOMAC;31 - JURIDICO;NIT;1130585617;7;NATALIA ELIZABETH SANCHEZ ORTIZ;-;URB SAN FELIPE B. EXPORCOL CSA No67;SAN ANDRES DE TUMACO;;NARIÑO;;BLADIMIR DIAZ;3186967576;;facturacioncarsan2018@gmail.com;0;1;activo;;;;;;;;;;;;;
129;MARLY HERNANDO;PORTILLA GUEVARA;MARLY HERNANDO PORTILLA GUEVARA ;13 - NATURAL;CC;97471301;5;MARLY HERNANDO PORTILLA GUEVARA ;AGRO DISTRIBUIDORA LA DORADA;CRA 5 4 31 B SAN FELIPE -LA DORADA  ;SAN MIGUEL;; PUTUMAYO;;BLADIMIR DIAZ;3112310374;;distridorada20@hotmail.com;0;1;activo;;;;;;;;;;;;;
130;GILDARDO MUÑOZ;LOPEZ ;GILDARDO MUÑOZ LOPEZ;13 - NATURAL;CC;16881742;4;ENMANUEL SANTANDER;-;CR 14 12 49;SANTANDER DE QUILICHAO;;CAUCA ;;BLADIMIR DIAZ;3128326734;;asesoriacontable34@yahoo.com;0;1;activo;;;;;;;;;;;;;
131;RAFAEL ANTONIO;CAMARGO CIFUENTES;RAFAEL ANTONIO  CAMARGO CIFUENTES;13 - NATURAL;CC;19205921;;RICARDO CHINCHILLA;-;CL1  19B  94 ETAPA 1 TORRE 27 APTO 602;SOACHA;;;;BLADIMIR DIAZ;3204206189;;rafacamartes53@gmail.com;0;1;activo;;;;;;;;;;;;;
132;WILSON RICARDO;CHINCHILLA ;WILSON RICARDO CHINCHILLA;13 - NATURAL;CC;80051499;0;RICARDO CHINCHILLA;GRESIFICADOS FENIX;CALLE 49 7 -41  LEON TRECE;SOACHA;;;;BLADIMIR DIAZ;3204206189;;;0;1;activo;;;;;;;;;;;;;
133;MARIA ELIZABETH;MUÑOZ FERNANDEZ;MARIA ELIZABETH MUÑOZ FERNANDEZ;13 - NATURAL;CC;25285176;1;MARIA ELIZABETH MUÑOZ FERNANDEZ;BABY STORE JYM ;CON LA VICTORIA CASA 26 AD                          B. PANAMERICANO ;UNION ;;NARIÑO ;;BLADIMIR DIAZ;3113183505;;babystorejym@gmail.com ;0;1;activo;;;;;;;;;;;;;
134;DAVID ANDRES;ENCISO ARAGO;DAVID ANDRES ENCISO ARAGO;13 - NATURAL;CC;1113304913;6;KARINA/DAVID;CERAMICAS MEGAFERRE;CALLE 5 CR 9 ESQ BRR EL RECREO;VALLE DEL GUAMUEZ;;;;BLADIMIR DIAZ;3105526416;;ceramicasmegaferre@gmail.com;0;1;activo;;;;;;;;;;;;;
135;ELMER ALBERTO;BENAVIDES ;ELMER ALBERTO BENAVIDES ;13 - NATURAL;CC;1127071533;1;ELMER ALBERTO BENAVIDES ;CERAMICAS BENAVIDES;CL  7 8 15 B. EL PROGRESO ;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3143836722;3125433224;remle1812@gmail.com;0;1;activo;;;;;;;;;;;;;
136;MARIA ALEJANDRA;ALZATE ;MARIA ALEJANDRA ALZATE;13 - NATURAL;CC;1144074206;;MARIA ALEJANDRA;-;CL 69 7 M 37 LOS PINOS;YUMBO;;VALLE;;BLADIMIR DIAZ;3243802193;;contabilidaalejandra07@gmail.com;0;1;activo;;;;;;;;;;;;;
137;NESTOR HUMBERTO;GIRLDO HURTADO;NESTOR HUMBERTO GIRLDO HURTADO;13 - NATURAL;CC;9859002;5;NESTOR HUMBERTO GIRALDO HURTADO ;SURTICERAMICAS ZARZAL;CRA 10 8 47;ZARZAL ;;VALLE;;BLADIMIR DIAZ;3127287359;;surticeramicaszarzal@gmail.com;0;1;activo;;;;;;;;;;;;;
138;ILDA BIBIANA;ARIAS BETANCUR;ILDA BIBIANA ARIAS BETANCUR ;13 - NATURAL;CC;33745886;6;ILDA BIBIANA ARIAS BETANCUR ;DECORANDO TUS ESPACIOS;CL 8    # 8  66 ;ZARZAL ;;VALLE;;BLADIMIR DIAZ;3106277941;;decorando-tus-espacios@hotmail.com;0;1;activo;;;;;;;;;;;;;
139;FABIAN DARIO;ARIAS BETANCUR;FABIAN DARIO ARIAS BETANCUR;13 - NATURAL;CC;1058843269;3;FABIAN DARIO ARIAS ;DEKOR ARTE ESPACIOS CON ESTILO ;CL 10 A 2 15;ZARZAL ;;VALLE;;BLADIMIR DIAZ;3045677213;2595528;dekor.arte@hotmail.com;0;1;activo;;;;;;;;;;;;;
140;;;UNICERAMIK SAS;31 - JURIDICA;NIT;901659211;5;FREDDY  MONTOYA;UNICERAMIK SAS;CRA 20 3 N 00 TO 4 APT 504;ARMENIA ;;QUINDIO;;BLADIMIR DIAZ;3043497105;;uniceramik.sas@gmail.com;0;1;activo;;;;;;;;;;;;;
141;;;CERAMICAS CALDAS AYR SAS;31 - JURIDICA;NIT;900742870;1;MARY LUZ ;CERAMICAS CALDAS AYR SAS;CL 46 SUR 19A 37;BOGOTA ;;;;BLADIMIR DIAZ;3122699918;6017124170;ceramicascaldasayr@outlook.com;0;1;activo;;;;;;;;;;;;;
142;;;CERAMICA BERACA JJ S.A.S;31 - JURIDICA;NIT;901797304;2;JAIRO AYALA;-;CL 46 19-65 SUR;BOGOTA ;;;;BLADIMIR DIAZ;3228420297;3132933873;jairo.ayala_2019@hotmail.com;0;1;activo;;;;;;;;;;;;;
143;;;GRUPO OCCIDENTAL DE LOGISTICA;31 - JURIDICA;NIT;901391998;1;JAMER VARELA;-;CRA 1 A 2A 39 EDIFICIO BANCO DE BOGOTA;BUENAVENTURA;;;;BLADIMIR DIAZ;3156301537;;occidenlogistica@gmail.com;0;1;activo;;;;;;;;;;;;;
144;;;DRIWALL Y PVC DEL PACIFICO SAS;31 - JURIDICA;NIT;901588630;2;JAVIER GUILLEN;-;CL 1 MZ 3  1  05 BRR EL CAMBIO;BUENAVENTURA;;VALLE;;BLADIMIR DIAZ;3132830581;;drywallypvcdelpacifico@gmail.com;0;1;activo;;;;;;;;;;;;;
145;;;GRUPO ECO HOGAR SAS;31 - JURIDICA;NIT;901191955;5;JAVIER GUILLEN;-;CL 5 14 41 BRR LA PIÑA;BUENAVENTURA ;;VALLE ;;BLADIMIR DIAZ;3116009755;3234198939;grupoecohogarsas@gmail.com;0;1;activo;;;;;;;;;;;;;
146;;;CONSTRUESTILOS ;31 - JURIDICA;NIT;901157407;;MARTA LILIANA GARCIA -FREDY;-;RESTREPO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3148778361;;;0;1;activo;;;;;;;;;;;;;
147;;;EMBELLECER TIENDA CERAMICA;31 - JURIDICA;NIT;900684488;1;OLANO CAICEDO ARIUNFO;EMBELLECER TIENDA CERAMICA S.A.S;CL 15 23 61;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3105465840;;embellecertiendaceramica@hotmail.com;0;1;activo;;;;;;;;;;;;;
148;;;DISTRIBUCIONES OB SAS ;31 - JURIDICA;NIT;900930657;3;OSCAR ;DISTRIBUCIONES OB SAS ;CR 8 70 96 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3184818702;4033397;juliosanchez.7@hotmail.com;0;1;activo;;;;;;;;;;;;;
149;;;A Y R CONSTRUCCINES SAS;31 - JURIDICA;NIT;900977654;4;LUIS CARLOS BETANCOURTH TORRES;SERVI HOME MANTENIMIENTO Y RESTAURACION;CL 53 98 91 AP 903 TO 3;CALI;76001;VALLE DEL CAUCA;76;CIELO ALDANA;3156705738;;ayrconstrucionescol@gmail.com;0;1;activo;;;;;;;;;;;;;
150;;;DECORMADERAS JV SAS;31 - JURIDICA;NIT;901195154;0;JHON ALEXAANDER DELGADO VILLOTA;DECORMADERAS JV;CL 47 10 87;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3162807531;;decormaderasjvsas@gmail.com;0;1;activo;;;;;;;;;;;;;
151;;;CERAMICAS Y ACABADOS FLOREZ SAS;31 - JURIDICA;NIT;901551456;7;CAMILO FLOREZ;CERAMICAS OLIVETO;CR 8 76 40;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3104995666;3182298560;ceramicasyacabadosflorez@gmail.com;0;1;activo;;;;;;;;;;;;;
152;;;JOWILL SAS;31 - JURIDICA;NIT;901680211;2;JOWILL SAS;JOWILL SAS;CL 15 12 81;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3216582871;;jowillsas@gmail.com;0;1;activo;;;;;;;;;;;;;
153;;;DECORCERAMICAS LA OCTAVA SAS;31 - JURIDICA;NIT;901705293;6;PRIMO;DECORCERAMICAS LA OCTAVA SAS;CR 8 72 B 38;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3163051639;;decor-ceramica8@hotmail.com;0;1;activo;;;;;;;;;;;;;
